wsif_year,school_organization_id,school_name,student_group,school_level,regular_attendance_numerator,regular_attendance_denominator,regular_attendance_rate
2017,"101,931",North Mason Senior High School,All Students,High,,2266,
2017,"102,439",North Middle School,All Students,Middle,1651,2108,0.783206831119545
2017,"102,786",North Pines Middle School,All Students,Middle,1127,1578,0.714195183776933
2017,"102,202",North Tapps Middle School,All Students,Middle,1415,1537,0.920624593363696
2017,"102,925",North Thurston High School,All Students,High,3838,4473,0.858037111558238
2017,"100,928",North Whidbey Middle School,All Students,Middle,1371,1609,0.85208203853325
2017,"102,907",Northport High School,All Students,High,135,193,0.699481865284974
2017,"101,648",Northshore Middle School,All Students,Middle,2004,2146,0.933830382106244
2017,"101,557",Northstar Middle School,All Students,Middle,,274,
2017,"104,341",Northwest Career and Technical High School,All Students,High,,455,
2017,"102,777",Northwood Middle School,All Students,Middle,2051,2313,0.88672719412019
2017,"101,613",Northwood Middle School,All Students,Middle,1837,1974,0.930597771023303
2017,"101,147",Nova High School,All Students,High,,1075,
2017,"100,921",Oak Harbor High School,All Students,High,3726,4855,0.76745623069001
2017,"103,163",Oakesdale High School,All Students,High,101,111,0.90990990990991
2017,"101,919",Oakland Bay Junior High School,All Students,Middle,1531,2059,0.74356483729966
2017,"102,160",Oakland High School,All Students,High,63,771,0.0817120622568093
2017,"100,913",Oakville High School,All Students,High,126,321,0.392523364485981
2017,"100,910",Ocosta Junior - Senior High,All Students,Middle,737,921,0.800217155266015
2017,"101,891",Odessa High School,All Students,High,289,316,0.914556962025316
2017,"101,384",Odle Middle School,All Students,Middle,,2659,
2017,"103,967",Okanogan Alternative High School,All Students,High,62,67,0.925373134328358
2017,"101,950",Okanogan High School,All Students,High,667,854,0.781030444964871
2017,"101,949",Okanogan Middle School,All Students,Middle,682,782,0.872122762148338
2017,"102,969",Olympia High School,All Students,High,4782,5467,0.874702762026706
2017,"101,729",Olympic High School,All Students,High,2866,3579,0.800782341436155
2017,"101,419",Olympic Middle School,All Students,Middle,1729,2296,0.753048780487805
2017,"103,835",Olympic Middle School,All Students,Middle,1447,1675,0.863880597014925
2017,"102,489",Olympic View Middle School,All Students,Middle,2337,2646,0.883219954648526
2017,"101,941",Omak High School,All Students,High,737,1241,0.593875906526994
2017,"101,945",Omak Middle School,All Students,Middle,708,905,0.78232044198895
2017,"101,848",Onalaska High School,All Students,High,520,684,0.760233918128655
2017,"101,850",Onalaska Middle School,All Students,Middle,398,474,0.839662447257384
2017,"103,042",Options High School,All Students,High,88,367,0.239782016348774
2017,"102,343",Orcas Island High School,All Students,High,263,394,0.66751269035533
2017,"102,345",Orcas Island Middle School,All Students,Middle,148,167,0.88622754491018
2017,"100,468",Orchard Middle School,All Students,Middle,1072,1245,0.861044176706827
2017,"100,718",Orondo Elementary and Middle School,All Students,Middle,460,532,0.864661654135338
2017,"101,976",Oroville Middle-High School,All Students,Middle,489,785,0.622929936305733
2017,"102,206",Orting High School,All Students,High,1907,2397,0.795577805590321
2017,"102,207",Orting Middle School,All Students,Middle,1518,1713,0.886164623467601
2017,"100,333",Othello High School,All Students,High,2450,3148,0.778271918678526
2017,"103,281",Pace Alternative High School,All Students,High,32,244,0.131147540983607
2017,"105,133",Pacific Cascade Middle School,All Students,Middle,,2946,
2017,"101,292",Pacific Middle School,All Students,Middle,1546,1954,0.791197543500512
2017,"100,612",Pacific Middle School,All Students,Middle,2688,3099,0.867376573088093
2017,"105,266",Paideia High School,All Students,High,117,148,0.790540540540541
